ID	direction
HG02135_2	DIR
HG02145_1	DIR
HG02145_2	INV
HG02148_1	DIR
HG02148_2	DIR
HG02155_1	DIR
HG02155_2	DIR
HG02165_1	DIR
HG02165_2	DIR
HG02178_1	DIR
HG02178_2	DIR
HG02257_1	DIR
HG02257_2	INV
HG02258_1	DIR
HG02258_2	DIR
HG02273_1	DIR
HG02273_2	DIR
HG02280_1	DIR
HG02280_2	DIR
HG02293_1	DIR
HG02293_2	DIR
HG02300_1	DIR
HG02300_2	DIR
HG02391_1	DIR
HG02391_2	DIR
HG02392_1	DIR
HG02392_2	DIR
HG02451_1	DIR
HG02451_2	DIR
HG02486_1	DIR
HG02486_2	DIR
HG02514_1	DIR
HG02514_2	DIR
HG02523_1	DIR
HG02523_2	DIR
HG02559_1	DIR
HG02559_2	DIR
HG02572_1	DIR
HG02572_2	DIR
HG02583_1	DIR
HG02583_2	DIR
HG02602_1	INV
HG02602_2	DIR
HG02615_1	DIR
HG02615_2	DIR
HG02622_1	DIR
HG02622_2	DIR
HG02630_1	DIR
HG02630_2	DIR
HG02647_1	DIR
HG02647_2	DIR
HG02668_1	DIR
HG02668_2	DIR
HG02698_1	DIR
HG02698_2	DIR
HG02717_1	DIR
HG02717_2	DIR
HG02723_1	DIR
HG02723_2	DIR
HG02735_1	DIR
HG02735_2	INV
HG02738_1	INV
HG02738_2	DIR
HG02809_1	DIR
HG02809_2	DIR
HG02818_1	DIR
HG02818_2	DIR
HG02841_1	DIR
HG02841_2	DIR
HG02886_1	DIR
HG02886_2	DIR
HG02922_1	DIR
HG02922_2	DIR
HG02965_1	DIR
HG02965_2	DIR
HG02976_1	DIR
HG02976_2	DIR
HG02984_1	DIR
HG02984_2	DIR
HG03017_1	DIR
HG03017_2	DIR
HG03041_1	DIR
HG03041_2	DIR
HG03050_1	DIR
HG03050_2	DIR
HG03098_1	DIR
HG03098_2	DIR
HG03130_1	DIR
HG03130_2	DIR
HG03139_1	DIR
HG03139_2	DIR
HG03195_1	DIR
HG03195_2	DIR
HG03209_1	DIR
HG03209_2	DIR
HG03225_1	DIR
HG03225_2	DIR
HG03239_1	DIR
HG03239_2	INV
HG03270_1	DIR
HG03270_2	DIR
HG03369_1	DIR
HG03369_2	DIR
HG03453_1	DIR
HG03453_2	DIR
HG03470_1	DIR
HG03470_2	DIR
HG03471_1	DIR
HG03471_2	DIR
HG03486_1	DIR
HG03486_2	DIR
HG03516_1	DIR
HG03516_2	DIR
HG03521_1	DIR
HG03521_2	DIR
HG03540_1	DIR
HG03540_2	DIR
HG03579_1	DIR
HG03579_2	DIR
HG03583_1	DIR
HG03583_2	DIR
HG03654_1	DIR
HG03654_2	DIR
HG03669_1	DIR
HG03669_2	DIR
HG03688_1	DIR
HG03688_2	DIR
HG03704_1	INV
HG03704_2	DIR
HG03710_1	INV
HG03710_2	INV
HG03742_1	DIR
HG03742_2	DIR
HG03784_1	DIR
HG03784_2	DIR
HG03804_1	DIR
HG03804_2	DIR
HG03816_1	DIR
HG03816_2	DIR
HG03831_1	DIR
HG03831_2	DIR
HG03834_1	DIR
HG03834_2	DIR
HG03874_1	DIR
HG03874_2	INV
HG03927_1	DIR
HG03927_2	DIR
HG03942_1	DIR
HG03942_2	DIR
HG04115_1	DIR
HG04115_2	DIR
HG04157_1	DIR
HG04157_2	DIR
HG04160_1	DIR
HG04160_2	DIR
HG04184_1	DIR
HG04184_2	DIR
HG04187_1	DIR
HG04187_2	DIR
HG04199_1	DIR
HG04199_2	INV
HG04204_1	DIR
HG04204_2	DIR
HG04228_1	DIR
HG04228_2	DIR
HG06807_1	DIR
HG06807_2	DIR
NA18505_1	DIR
NA18505_2	DIR
NA18508_1	DIR
NA18508_2	DIR
NA18522_1	DIR
NA18522_2	DIR
NA18565_1	DIR
NA18565_2	DIR
NA18570_1	DIR
NA18570_2	DIR
NA18608_1	DIR
NA18608_2	DIR
NA18620_1	DIR
NA18620_2	DIR
NA18747_1	DIR
NA18747_2	DIR
NA18879_1	DIR
NA18879_2	DIR
NA18906_1	DIR
NA18906_2	DIR
NA18940_1	DIR
NA18940_2	DIR
NA18943_1	DIR
NA18943_2	DIR
NA18944_1	DIR
NA18944_2	DIR
NA18945_1	DIR
NA18945_2	DIR
NA18948_1	DIR
NA18948_2	DIR
NA18952_1	DIR
NA18952_2	DIR
NA18959_1	DIR
NA18959_2	DIR
NA18960_1	DIR
NA18960_2	DIR
NA18967_1	DIR
NA18967_2	DIR
NA18970_1	DIR
NA18970_2	DIR
NA18971_1	DIR
NA18971_2	DIR
NA18974_1	DIR
NA18974_2	DIR
NA18976_1	DIR
NA18976_2	DIR
NA18982_1	DIR
NA18982_2	DIR
NA18983_1	DIR
NA18983_2	DIR
NA19036_1	DIR
NA19036_2	DIR
NA19043_1	DIR
NA19043_2	DIR
NA19087_1	DIR
NA19087_2	DIR
NA19159_1	DIR
NA19159_2	DIR
NA19185_1	DIR
NA19185_2	DIR
NA19240_1	DIR
NA19240_2	DIR
NA19338_1	DIR
NA19338_2	DIR
NA19391_1	DIR
NA19391_2	DIR
NA19443_1	DIR
NA19443_2	DIR
NA19468_1	DIR
NA19468_2	DIR
NA19682_1	DIR
NA19682_2	DIR
NA19700_1	DIR
NA19700_2	DIR
NA19776_1	DIR
NA19776_2	DIR
NA19835_1	DIR
NA19835_2	DIR
NA19909_1	DIR
NA19909_2	DIR
NA20129_1	DIR
NA20129_2	DIR
NA20282_1	DIR
NA20282_2	DIR
NA20346_1	DIR
NA20346_2	DIR
NA20503_1	DIR
NA20503_2	INV
NA20752_1	DIR
NA20752_2	DIR
NA20762_1	INV
NA20762_2	DIR
NA20799_1	INV
NA20799_2	DIR
NA20805_1	DIR
NA20805_2	DIR
NA20806_1	INV
NA20806_2	INV
NA20809_1	DIR
NA20809_2	INV
NA20827_1	DIR
NA20827_2	INV
NA20850_1	INV
NA20850_2	DIR
NA20870_1	DIR
NA20870_2	DIR
