ID	direction
HG02165_1	INV
HG02165_2	DIR
HG02178_1	INV
HG02178_2	INV
HG02257_1	DIR
HG02257_2	INV
HG02258_1	DIR
HG02258_2	INV
HG02273_1	INV
HG02273_2	INV
HG02280_1	DIR
HG02280_2	INV
HG02293_1	INV
HG02293_2	INV
HG02300_1	INV
HG02300_2	INV
HG02391_1	INV
HG02391_2	INV
HG02392_1	INV
HG02392_2	DIR
HG02451_1	INV
HG02451_2	DIR
HG02486_1	DIR
HG02486_2	DIR
HG02514_1	INV
HG02514_2	INV
HG02523_1	INV
HG02523_2	DIR
HG02559_1	DIR
HG02559_2	DIR
HG02572_1	DIR
HG02572_2	DIR
HG02583_1	DIR
HG02583_2	DIR
HG02602_1	INV
HG02602_2	INV
HG02615_1	DIR
HG02615_2	DIR
HG02622_1	DIR
HG02622_2	INV
HG02630_1	INV
HG02630_2	INV
HG02647_1	DIR
HG02647_2	DIR
HG02668_1	DIR
HG02668_2	INV
HG02698_1	DIR
HG02698_2	DIR
HG02717_1	DIR
HG02717_2	INV
HG02723_1	DIR
HG02723_2	DIR
HG02735_1	INV
HG02735_2	INV
HG02738_1	DIR
HG02738_2	DIR
HG02809_1	DIR
HG02809_2	INV
HG02818_1	DIR
HG02818_2	INV
HG02841_1	DIR
HG02841_2	DIR
HG02886_1	DIR
HG02886_2	DIR
HG02922_1	DIR
HG02922_2	DIR
HG02965_1	INV
HG02965_2	DIR
HG02976_1	DIR
HG02976_2	DIR
HG02984_1	INV
HG02984_2	DIR
HG03017_1	INV
HG03017_2	INV
HG03041_1	DIR
HG03041_2	INV
HG03050_1	DIR
HG03050_2	DIR
HG03098_1	INV
HG03098_2	DIR
HG03130_1	DIR
HG03130_2	DIR
HG03139_1	INV
HG03139_2	DIR
HG03195_1	DIR
HG03195_2	DIR
HG03209_1	DIR
HG03209_2	DIR
HG03225_1	DIR
HG03225_2	DIR
HG03239_1	INV
HG03239_2	DIR
HG03270_1	DIR
HG03270_2	DIR
HG03369_1	DIR
HG03369_2	DIR
HG03453_1	DIR
HG03453_2	INV
HG03470_1	DIR
HG03470_2	INV
HG03471_1	DIR
HG03471_2	DIR
HG03486_1	DIR
HG03486_2	DIR
