HG005	EAS_CHS_HG005
HG03583	AFR_MSL_HG03583
HG03611	SAS_BEB_HG03611
HG03654	SAS_PJL_HG03654
HG03669	SAS_PJL_HG03669
HG03672	SAS_STU_HG03672
HG03688	SAS_STU_HG03688
HG03704	SAS_PJL_HG03704
HG03710	SAS_PJL_HG03710
HG03742	SAS_ITU_HG03742
HG03778	SAS_ITU_HG03778
HG03784	SAS_ITU_HG03784
HG03792	SAS_ITU_HG03792
HG03804	SAS_BEB_HG03804
HG03816	SAS_BEB_HG03816
HG03831	SAS_BEB_HG03831
HG03834	SAS_BEB_HG03834
HG03874	SAS_ITU_HG03874
HG03919	SAS_BEB_HG03919
HG03927	SAS_BEB_HG03927
HG03942	SAS_BEB_HG03942
HG04115	SAS_STU_HG04115
HG04153	SAS_BEB_HG04153
HG04157	SAS_BEB_HG04157
HG04160	SAS_BEB_HG04160
HG04184	SAS_BEB_HG04184
HG04187	SAS_BEB_HG04187
HG04199	SAS_STU_HG04199
HG04204	SAS_STU_HG04204
HG04225	SAS_ITU_HG04225
HG04228	SAS_STU_HG04228
NA18505	AFR_YRI_NA18505
NA18508	AFR_YRI_NA18508
NA18522	AFR_YRI_NA18522
NA18523	AFR_YRI_NA18523
NA18565	EAS_CHB_NA18565
NA18570	EAS_CHB_NA18570
NA18608	EAS_CHB_NA18608
NA18612	EAS_CHB_NA18612
NA18620	EAS_CHB_NA18620
NA18638	EAS_CHB_NA18638
NA18747	EAS_CHB_NA18747
NA18871	AFR_YRI_NA18871
NA18879	AFR_YRI_NA18879
NA18906	AFR_YRI_NA18906
NA18940	EAS_JPT_NA18940
NA18943	EAS_JPT_NA18943
NA18944	EAS_JPT_NA18944
NA18945	EAS_JPT_NA18945
NA18948	EAS_JPT_NA18948
NA18952	EAS_JPT_NA18952
NA18959	EAS_JPT_NA18959
NA18960	EAS_JPT_NA18960
NA18967	EAS_JPT_NA18967
NA18970	EAS_JPT_NA18970
NA18971	EAS_JPT_NA18971
NA18974	EAS_JPT_NA18974
NA18976	EAS_JPT_NA18976
NA18982	EAS_JPT_NA18982
NA18983	EAS_JPT_NA18983
NA19012	EAS_JPT_NA19012
NA19030	AFR_LWK_NA19030
NA19036	AFR_LWK_NA19036
NA19042	AFR_LWK_NA19042
NA19043	AFR_LWK_NA19043
